orientation_X,orientation_X,orientation_X,orientation_X,orientation_X,orientation_Y,orientation_Y,orientation_Y,orientation_Y,orientation_Y,orientation_Z,orientation_Z,orientation_Z,orientation_Z,orientation_Z,orientation_W,orientation_W,orientation_W,orientation_W,orientation_W,angular_velocity_X,angular_velocity_X,angular_velocity_X,angular_velocity_X,angular_velocity_X,angular_velocity_Y,angular_velocity_Y,angular_velocity_Y,angular_velocity_Y,angular_velocity_Y,angular_velocity_Z,angular_velocity_Z,angular_velocity_Z,angular_velocity_Z,angular_velocity_Z,linear_acceleration_X,linear_acceleration_X,linear_acceleration_X,linear_acceleration_X,linear_acceleration_X,linear_acceleration_Y,linear_acceleration_Y,linear_acceleration_Y,linear_acceleration_Y,linear_acceleration_Y,linear_acceleration_Z,linear_acceleration_Z,linear_acceleration_Z,linear_acceleration_Z,linear_acceleration_Z,surface_label,surface_label,surface_label,surface_label,surface_label
min,max,mean,median,var,min,max,mean,median,var,min,max,mean,median,var,min,max,mean,median,var,min,max,mean,median,var,min,max,mean,median,var,min,max,mean,median,var,min,max,mean,median,var,min,max,mean,median,var,min,max,mean,median,var,min,max,mean,median,var
-0.75953,-0.75822,-0.75866578125,-0.75853,1.3155056594485545e-07,-0.63456,-0.63306,-0.63400765625,-0.63427,2.2198343996058477e-07,-0.10614,-0.10461,-0.105474140625,-0.10550000000000001,1.864512241633778e-07,-0.10705,-0.10559,-0.106469609375,-0.106555,1.5152819266731965e-07,-0.16041,0.10765,-0.0024806835937500006,-0.005082,0.002787856950296113,-0.079404,0.072698,-0.0033060299765625,-0.0040367,0.000995030096080891,-0.030181,0.05172,0.007531646328125,0.0068419,0.0002933502469833178,-1.8644,2.8538,0.26341829375,0.231665,0.8302398038814136,0.075417,5.3864,2.9841948984375,3.40755,1.925961852583132,-12.512,-6.2681,-9.320390625,-9.429950000000002,1.199112837706693,0,0,0.0,0.0,0.0
-0.95896,-0.95837,-0.95860640625,-0.9585950000000001,2.2906668307093186e-08,0.24074,0.2427,0.241866953125,0.24189,2.487725332185084e-07,0.030504,0.032341,0.0316503046875,0.031688499999999994,2.583171426550258e-07,-0.14809,-0.14587,-0.146875546875,-0.14691,2.716248954232354e-07,-0.2548,0.28342,0.0046047653125,0.01034375,0.008520948831849097,-0.13433,0.11208,-0.007756780625,-0.0063300000000000006,0.0021643981900926175,-0.12161,0.12915,0.006206277499999999,0.00353755,0.0045607091865429395,-3.1934,5.1002,0.12186745828125,0.00357148,1.223115069621022,-2.1492,6.685,2.76819294140625,2.7500999999999998,3.476199352833321,-16.928,-2.7449,-9.38889921875,-9.4138,4.507405880550564,1,1,1.0,1.0,0.0
-0.51434,-0.50944,-0.51205734375,-0.512035,1.8974275344488783e-06,-0.84779,-0.8449,-0.8461709375,-0.84621,6.163613188975763e-07,-0.1303,-0.12852,-0.129370625,-0.129405,2.922090551181343e-07,-0.071535,-0.070378,-0.071081859375,-0.0711395,7.74122950295279e-08,-0.15271,0.14192,0.00264566328125,-0.0031195499999999996,0.00362013209909125,-0.10781,0.091946,-0.0092316829921875,-0.0108795,0.0012624099543786039,-0.015697,0.08873,0.027989151546875,0.028323,0.00047810699368109477,-2.593,1.8533,0.1497114296875,0.174515,0.5717448985755387,-1.254,6.2105,2.8867445703125,3.03375,3.132163202429885,-12.499,-5.7442,-9.3957828125,-9.374400000000001,1.3002078609621066,1,1,1.0,1.0,0.0
-0.93968,-0.93884,-0.9391690625,-0.93917,5.167627952754291e-08,0.30943,0.31147,0.31014015625,0.31011500000000003,2.0524564468508132e-07,0.037922,0.039799,0.0389550078125,0.038889,2.017622597810081e-07,-0.14437,-0.13934,-0.142318828125,-0.14251,1.8799316867617903e-06,-0.40152,0.51913,0.0006239554687500007,0.006708499999999999,0.03223596293410312,-0.16815,0.13578,-0.0028041115624999995,0.000517815,0.002180873197010541,-0.073414,0.085345,0.0078866427890625,0.00585615,0.0010410406833202977,-3.7934,4.2032,0.20179051640624998,0.31720499999999996,2.166840281734969,-5.8251,11.743,2.65792232734375,3.00885,17.651849196423495,-19.845,-0.5591,-9.4511640625,-9.1617,12.100170985942423,1,1,1.0,1.0,0.0
-0.89689,-0.88673,-0.891300546875,-0.89094,8.73389969857246e-06,0.41646,0.4374,0.42814421874999997,0.428865,3.801147025098354e-05,0.058247,0.061771,0.0600564453125,0.060113,9.708578867495265e-07,-0.13732,-0.13538,-0.136460390625,-0.13656000000000001,2.928037832184721e-07,-0.10407,0.080904,0.006968878046875,0.010156700000000001,0.0020046130900877365,0.0082314,0.083764,0.0461085890625,0.047561,0.00025965423355232034,-0.21394,-0.063372,-0.1423850625,-0.14667000000000002,0.0014814079401535448,-1.2696,0.82891,-0.08617125,-0.054043,0.1915874257653543,0.34207,4.8181,2.981497890625,3.13565,1.2945338426970896,-10.975,-7.449,-9.34998828125,-9.332799999999999,0.6602948008852109,2,2,2.0,2.0,0.0
0.46403,0.46545,0.4647125,0.4647,9.923149606302818e-08,-0.87288,-0.87206,-0.8724961718750001,-0.87256,5.050727731305075e-08,-0.1287,-0.12624,-0.127264296875,-0.12706499999999998,4.3231288754918003e-07,0.080233,0.081804,0.0812115,0.0813055,1.4108590551180962e-07,-0.19708,0.27414,-0.007366204687499999,-0.011663,0.00965341389259872,-0.13278,0.15339,-0.00013449780468749938,0.0049658,0.0030279761505722707,-0.13539,0.12397,-0.006880514765625,-0.0013552500000000001,0.0027681790101883107,-4.8798,3.2572,0.109911471875,0.165015,2.38626433118535,-3.0727,7.9689,2.6689451484375,2.6337,5.198967086211245,-16.503,-4.0169,-9.2852421875,-9.3179,5.202780703718013,3,3,3.0,3.0,0.0
-0.40575,-0.39856,-0.40235609375,-0.402395,4.4935090305116005e-06,-0.90498,-0.90154,-0.903141484375,-0.90313,1.0255733698326925e-06,-0.14108,-0.13986,-0.140541484375,-0.14052,1.010599840058789e-07,-0.05275,-0.050994,-0.051849015625,-0.0517795,3.102798422736365e-07,-0.053589,0.061955,0.010418562734375001,0.0108845,0.0006518030047979351,-0.0083476,0.04558,0.01772520031640625,0.018042500000000003,0.00013557972780455866,-0.082053,-0.011964,-0.050956734375,-0.0535625,0.00025176816318873036,-0.82623,1.3522,0.175171307578125,0.14873,0.20160351285554182,1.1577,4.0124,2.64055,2.6059,0.4507221784251967,-10.58,-8.0323,-9.46501953125,-9.49785,0.2462199108753694,4,4,4.0,4.0,0.0
-0.92619,-0.92559,-0.92590890625,-0.9259,1.860981791337352e-08,0.3467,0.34829,0.347656640625,0.3477,1.2547445250985986e-07,0.045308,0.04738,0.046576015625,0.0467135,3.1132502337598037e-07,-0.14168,-0.13891,-0.140201640625,-0.14007,5.700374446358125e-07,-0.3647,0.43876,0.0091833375,-0.00647975,0.016591108659642834,-0.22074,0.1189,-0.00012193367187500015,0.001568345,0.0039160859987121205,-0.1969,0.16164,-0.0081296109375,-0.00437345,0.0035542052074677526,-3.9127,6.5226,0.44704805078125,0.43942499999999995,3.768780050243127,-3.147,10.475,2.5985275859375,2.08075,7.64720015316516,-21.873,1.05,-9.313302890625,-9.3934,8.926304087872685,1,1,1.0,1.0,0.0
0.0091588,0.018242,0.0120406953125,0.0109825,8.588269046749528e-06,-0.98894,-0.98888,-0.9889221875,-0.98893,3.337598425246201e-10,-0.14787,-0.14717,-0.14760171875,-0.14762,4.4628518700784795e-08,0.0086403,0.010904,0.00964408515625,0.009583600000000001,5.115840790692685e-07,-0.042677,0.026041,-0.00530138703125,-0.0035286,0.00022937104448148238,-0.054511,0.018512,-0.0195203239609375,-0.023455999999999998,0.0003383765063467336,-0.021209,0.11066,0.0549675628125,0.06803100000000001,0.0016177256209706386,-1.0639,1.3563,-0.015767859375000002,-0.087212,0.26438316149027924,1.7772,2.7822,2.4656234375,2.4680999999999997,0.028657198658956724,-10.319,-8.6465,-9.51332890625,-9.50295,0.16115765514210137,5,5,5.0,5.0,0.0
0.75101,0.82463,0.789136796875,0.7899,0.00046519093217888517,-0.64267,-0.54483,-0.594257578125,-0.59415,0.000820013312985975,-0.091066,-0.07628,-0.08321009375,-0.083315,1.900405188090558e-05,0.12114,0.1318,0.126072109375,0.12689499999999998,9.066786854084518e-06,-0.20475,0.20828,-0.007558510390624999,-0.0112925,0.007041500693342849,-0.37298,-0.054258,-0.225972828125,-0.225055,0.004214133521151331,0.65255,0.83011,0.73949421875,0.74005,0.0012921476371801212,-3.0753,4.1426,0.5541699828125,0.45694500000000005,2.899260857679897,-0.4943,8.3485,3.381636359375,3.265,3.716639312305666,-14.259,-3.4786,-9.22405546875,-9.2,4.568772824064345,3,3,3.0,3.0,0.0
0.84711,0.85025,0.848893828125,0.84904,7.703671198327648e-07,-0.51075,-0.50554,-0.507935546875,-0.5078050000000001,2.23350678518706e-06,-0.072673,-0.071202,-0.0718756640625,-0.0717995,1.3575359491879977e-07,0.12619,0.12807,0.1273253125,0.12752999999999998,3.0814005905507457e-07,-0.11643,0.10143,-8.695726562500017e-05,0.0074491,0.00234546839319508,-0.096726,0.089689,-0.00852606571875,-0.0068769,0.0015867721136473244,-0.020896,0.0999,0.037698330703125,0.035652,0.0008221631488570535,-3.0049,3.1343,0.147020075,0.11644499999999999,1.40375081427869,-0.191,6.3173,2.8565571875,2.93175,1.4822575600487204,-12.806,-6.3877,-9.38527734375,-9.428650000000001,1.2630855690102119,4,4,4.0,4.0,0.0
